시간대_매출금액,시간대_유동인구_수,유동인구_수_평균,총_직장_인구_수,총_가구_수,집객시설_수,월_평균_소득_금액,지출_총금액
810788479.0,121960.0,159745.6,17175.0,436.0,58.0,5082667.0,827566344.0
1126781460.0,250100.0,159745.6,17175.0,436.0,58.0,5082667.0,827566344.0
602709376.0,182261.0,159745.6,17175.0,436.0,58.0,5082667.0,827566344.0
565018043.0,156901.0,159745.6,17175.0,436.0,58.0,5082667.0,827566344.0
537963665.0,193633.0,159745.6,17175.0,436.0,58.0,5082667.0,827566344.0
222560783.0,191251.0,159745.6,17175.0,436.0,58.0,5082667.0,827566344.0
70475635.0,63970.0,83506.0,5716.0,391.0,79.0,6241887.0,438625881.0
93800778.0,128022.0,83506.0,5716.0,391.0,79.0,6241887.0,438625881.0
61525364.0,100072.0,83506.0,5716.0,391.0,79.0,6241887.0,438625881.0
69136794.0,88051.0,83506.0,5716.0,391.0,79.0,6241887.0,438625881.0
67676122.0,107591.0,83506.0,5716.0,391.0,79.0,6241887.0,438625881.0
11444158.0,100382.0,83506.0,5716.0,391.0,79.0,6241887.0,438625881.0
119408118.0,38090.0,56733.35,17557.0,493.0,34.0,4006812.0,409958750.0
169610606.0,77418.0,56733.35,17557.0,493.0,34.0,4006812.0,409958750.0
102942263.0,79170.0,56733.35,17557.0,493.0,34.0,4006812.0,409958750.0
129906189.0,78292.0,56733.35,17557.0,493.0,34.0,4006812.0,409958750.0
161807813.0,97633.0,56733.35,17557.0,493.0,34.0,4006812.0,409958750.0
40830354.0,62382.0,56733.35,17557.0,493.0,34.0,4006812.0,409958750.0
358516029.0,53185.0,108742.1,43324.0,508.0,86.0,4017738.0,1108323437.0
578599569.0,174791.0,108742.1,43324.0,508.0,86.0,4017738.0,1108323437.0
434191178.0,193909.0,108742.1,43324.0,508.0,86.0,4017738.0,1108323437.0
595195696.0,190228.0,108742.1,43324.0,508.0,86.0,4017738.0,1108323437.0
659024167.0,198727.0,108742.1,43324.0,508.0,86.0,4017738.0,1108323437.0
90684889.0,64584.0,108742.1,43324.0,508.0,86.0,4017738.0,1108323437.0
8035333.0,18903.0,36742.35,9166.0,111.0,12.0,5720607.0,631320946.0
34944796.0,57562.0,36742.35,9166.0,111.0,12.0,5720607.0,631320946.0
34567284.0,65012.0,36742.35,9166.0,111.0,12.0,5720607.0,631320946.0
47331025.0,64323.0,36742.35,9166.0,111.0,12.0,5720607.0,631320946.0
47592829.0,65419.0,36742.35,9166.0,111.0,12.0,5720607.0,631320946.0
1622785.0,21353.0,36742.35,9166.0,111.0,12.0,5720607.0,631320946.0
426805953.0,24717.0,33656.4,12418.0,437.0,41.0,3868336.0,181022561.0
753691442.0,45578.0,33656.4,12418.0,437.0,41.0,3868336.0,181022561.0
462131772.0,43127.0,33656.4,12418.0,437.0,41.0,3868336.0,181022561.0
492042743.0,41775.0,33656.4,12418.0,437.0,41.0,3868336.0,181022561.0
