기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20223,A,골목상권,3110672,백석중학교,699004,322951,376053,145673,86314,115143,103027,90971,157876,209072,145640,73846,69607,100853,99983,102028,100943,100040,98684,97743,97824,101740
20223,A,골목상권,3110671,등촌1동주민센터,1999310,929167,1070143,263448,325107,474191,312730,246349,377484,547285,418828,238200,229264,312996,252735,287018,287243,286508,284319,281379,281405,291438
20223,A,골목상권,3110670,신곡초등학교,1570982,711304,859678,329392,183323,223484,246641,215570,372570,476736,327296,156438,154314,238569,217628,225569,222028,217928,218134,218144,229724,239453
20223,A,골목상권,3110669,화곡보람2차아파트,78055,36631,41425,7240,13203,16788,12471,10315,18040,25888,15517,7405,7288,10748,11211,11129,10934,10979,10915,10911,11365,11821
20223,A,골목상권,3110668,화곡2동주민센터,1671755,771678,900075,306370,227101,281323,280785,219595,356580,538189,350076,166076,161768,241085,214559,240750,235438,234423,231808,229821,244310,255204
20223,A,골목상권,3110667,가양역 10번,52472,23296,29176,5188,8268,10509,7882,6942,13685,9210,10863,8392,8535,9879,5593,7586,7633,7711,7609,7614,7256,7064
20223,A,골목상권,3110666,KC대학교,207701,101459,106241,24223,37480,39942,32412,28236,45407,62484,43668,21490,20110,29019,30930,30243,30053,30098,29549,29238,28602,29920
20223,A,골목상권,3110665,곰달래도서관,1497922,719675,778247,253995,185688,258723,269933,218609,310974,379118,297934,177242,183522,261593,198513,212178,210556,211584,212083,213231,217599,220689
20223,A,골목상권,3110664,강서구청옆,238941,115917,123024,20813,47979,50646,40309,32015,47178,56193,46104,29206,29333,43700,34406,34156,34032,34018,33679,33822,34477,34758
20223,A,골목상권,3110663,우장산롯데캐슬아파트앞,257221,121014,136206,29090,44470,50314,42700,39202,51446,62077,53770,33503,33991,43151,30730,36719,36851,36778,36523,36086,37536,36728
20223,A,골목상권,3110662,까치산역 1번,2513205,1143498,1369707,400921,384992,394709,410971,342228,579385,780489,513060,246863,243127,382117,347548,358219,351681,347884,347503,347095,373039,387785
20223,A,골목상권,3110661,강서새말어린이공원,300706,139820,160884,37630,45434,51795,48844,44272,72729,75545,61936,36315,36936,50902,39072,42673,41944,41848,41615,41647,44922,46056
20223,A,골목상권,3110660,등촌3동주민센터,715005,327026,387979,101399,109058,122245,120896,102377,159029,125757,145993,116005,114976,139302,72972,102429,104614,106956,105082,104450,96037,95437
20223,A,골목상권,3110659,화곡역 4번,4834573,2187230,2647343,807522,689145,890635,785583,583860,1077829,1577669,1006275,454814,435521,680880,679415,696026,684179,677903,675948,674355,699181,726981
20223,A,골목상권,3110658,화곡초등학교,765053,371087,393967,123360,121020,139288,125428,90175,165784,205359,160400,87111,89898,128159,94128,107650,106333,105089,105394,104785,114286,121518
20223,A,골목상권,3110657,양천향교역 5번,618913,301268,317645,85002,95310,124421,117290,89502,107388,115301,132229,96899,96567,111831,66087,89645,90660,91400,90837,91989,82446,81939
20223,A,골목상권,3110656,까치산역 3번,6254408,3003535,3250872,531574,1142268,1390907,1005375,809351,1374932,1820939,1321978,673359,660630,964645,812859,880588,877343,874906,870282,873217,921264,956807
20223,A,골목상권,3110655,발산역 5번,337252,151696,185557,45608,61799,60617,59820,49601,59808,35677,69208,59686,60301,76344,36037,48112,51099,51735,50891,50310,44838,40270
20223,A,골목상권,3110654,까치산역 4번,2365983,1081707,1284277,290382,353522,429457,357992,334591,600040,730244,476605,232345,227520,357351,341920,338754,332538,329520,328544,331196,345389,360045
